Date,Open,High,Low,Close,Volume,Daily_Return,cumprod,3 days,3 momentum,3 momentum cumprod
2001-01-08,573.72,587.91,572.48,586.65,558644992,1.009985366,5.8665,1,1.005574022,40.19884397
2001-01-09,583.85,589.92,572.55,589.92,558966976,1.005574022,5.8992,1,0.950654326,38.21520493
2001-01-10,586.63,593.86,560.81,560.81,642377984,0.950654326,5.6081,0,,38.21520493
2001-01-11,568.26,570.57,557.86,561.79,518787968,1.001747472,5.6179,0,,38.21520493
2001-01-12,578.95,601.09,578.95,587.87,713787008,1.046423041,5.8787,0,,38.21520493
2001-01-15,595.06,608.22,588.87,599,611960960,1.018932757,5.99,1,1.007378965,38.49719358
2001-01-16,600.68,608.51,588.42,603.42,606277952,1.007378965,6.0342,1,0.987421696,38.01296419
2001-01-17,600.75,610.47,587.26,595.83,501659968,0.987421696,5.9583,1,1.013795881,38.53738654
2001-01-18,597.15,612.9,596.66,604.05,453763968,1.013795881,6.0405,1,1.026040891,39.5409344
2001-01-19,622.25,622.25,613.66,619.78,432453984,1.026040891,6.1978,1,1.012375359,40.03026766
2001-01-22,622.52,627.45,614.08,627.45,484952992,1.012375359,6.2745,1,0.943071161,37.751391
2001-01-26,623.68,624,591.73,591.73,443735968,0.943071161,5.9173,0,,37.751391
2001-01-29,592.75,598.11,587.42,596.54,461153984,1.008128707,5.9654,0,,37.751391
2001-01-30,601.29,608.05,591.34,591.34,498672992,0.991283066,5.9134,0,,37.751391
2001-01-31,594.76,617.91,593.54,617.91,442126976,1.04493185,6.1791,1,0.990921008,37.40864642
2001-02-01,606.49,620.78,605.42,612.3,396005984,0.990921008,6.123,1,0.993761228,37.17526241
2001-02-02,614.51,616.67,602.13,608.48,345288992,0.993761228,6.0848,1,0.951814357,35.38394849
2001-02-05,594.91,595.47,575.58,579.16,354073984,0.951814357,5.7916,0,,35.38394849
2001-02-06,577.25,587.23,573.52,586.58,326301984,1.012811658,5.8658,0,,35.38394849
2001-02-07,584.93,584.93,574.44,576.19,322720000,0.982287156,5.7619,0,,35.38394849
2001-02-08,577.12,591.66,577.12,591.57,282242976,1.026692584,5.9157,1,1.006592626,35.61722165
2001-02-09,588.36,598.97,581.49,595.47,374563968,1.006592626,5.9547,1,1.00626396,35.84032648
2001-02-12,587.62,602.9,584.37,599.2,318922976,1.00626396,5.992,1,0.999299065,35.81520476
2001-02-13,603.15,605.35,594.41,598.78,336729984,0.999299065,5.9878,1,1.008433815,36.11726358
2001-02-14,594.93,607.59,592.32,603.83,413233984,1.008433815,6.0383,1,0.999668781,36.10530086
2001-02-15,611.26,612.26,602.41,603.63,359763968,0.999668781,6.0363,1,1.002137071,36.18246044
2001-02-16,605.47,611.54,604.27,604.92,319524992,1.002137071,6.0492,1,0.986361833,35.688998
2001-02-19,595.66,597.76,588.91,596.67,314280000,0.986361833,5.9667,0,,35.688998
2001-02-20,595.77,609.36,593.17,608.74,498567968,1.020228937,6.0874,1,0.976656701,34.85589904
2001-02-21,605.49,605.49,594.45,594.53,439147968,0.976656701,5.9453,0,,34.85589904
2001-02-22,589.3,589.3,571.72,583.41,434890976,0.98129615,5.8341,0,,34.85589904
2001-02-23,579.97,590.49,579.45,583.52,400764992,1.000188547,5.8352,0,,34.85589904
2001-02-26,585.16,588.92,580.59,585.32,448985984,1.003084727,5.8532,0,,34.85589904
2001-02-27,590.14,597.12,576.66,577.57,475760992,0.986759379,5.7757,0,,34.85589904
2001-02-28,571.64,581.44,571.04,578.1,351256992,1.000917638,5.781,0,,34.85589904
2001-03-02,574.61,574.61,557.2,559.44,329686976,0.967721847,5.5944,0,,34.85589904
2001-03-05,549.27,565.38,549.27,565.38,309880992,1.010617761,5.6538,0,,34.85589904
2001-03-06,569.14,574.9,564.12,568.15,485017984,1.00489936,5.6815,0,,34.85589904
2001-03-07,574.52,576.94,566.08,568.64,364057984,1.000862448,5.6864,1,1.018711311,35.50809861
2001-03-08,569.79,579.28,568.09,579.28,349374976,1.018711311,5.7928,1,0.976660682,34.67936382
2001-03-09,572.11,573.67,562.53,565.76,316002976,0.976660682,5.6576,0,,34.67936382
2001-03-12,554.36,556.84,545.05,545.05,360938976,0.963394372,5.4505,0,,34.67936382
2001-03-13,527.94,533.25,522.65,527.97,358140992,0.968663425,5.2797,0,,34.67936382
2001-03-14,541.42,545,539.12,543.28,415187968,1.02899786,5.4328,0,,34.67936382
2001-03-15,523.28,542.3,522.74,541.83,385190976,0.997331026,5.4183,0,,34.67936382
2001-03-16,541.31,543.81,536.7,538.67,332614976,0.994167912,5.3867,1,0.991943119,34.39995631
2001-03-19,531.84,541.2,528.88,534.33,253798992,0.991943119,5.3433,0,,34.39995631
2001-03-20,542.13,542.79,531.39,531.59,279528992,0.994872083,5.3159,0,,34.39995631
2001-03-21,520.71,532.59,520.41,532.59,364741984,1.001881149,5.3259,0,,34.39995631
2001-03-22,530.88,532.25,524.25,527.05,402498976,0.989598002,5.2705,0,,34.39995631
2001-03-23,532.01,539.19,531.63,537.97,364378976,1.020719097,5.3797,1,1.014889306,34.91214779
2001-03-26,544.75,550.26,542.09,545.98,433274976,1.014889306,5.4598,1,0.976043079,34.07576021
2001-03-27,546.27,546.27,532.9,532.9,433272992,0.976043079,5.329,1,0.992287484,33.81295035
2001-03-28,541.43,541.71,528.79,528.79,402641984,0.992287484,5.2879,0,,33.81295035
2001-03-29,522.99,531.85,521.04,523.8,484167968,0.990563362,5.238,0,,33.81295035
2001-03-30,524.63,528.6,516.97,523.22,417224992,0.998892707,5.2322,0,,33.81295035
2001-04-02,520.56,522.09,512.4,515.2,231819984,0.98467184,5.152,0,,33.81295035
2001-04-03,505.38,507.67,498.27,503.26,277552000,0.976824534,5.0326,0,,33.81295035
2001-04-04,496.03,501.32,493.57,493.69,313640000,0.980983984,4.9369,0,,33.81295035
2001-04-06,518.06,518.2,504.54,506.22,373585984,1.025380299,5.0622,0,,33.81295035
2001-04-09,503.07,506.46,497.46,497.46,283857984,0.982695271,4.9746,0,,33.81295035
2001-04-10,500.97,501.65,491.21,491.21,261933984,0.987436176,4.9121,0,,33.81295035
2001-04-11,505.24,508.75,501.63,507.53,354279968,1.033224079,5.0753,1,1.013161784,34.25798908
2001-04-12,516.73,519.48,511.73,514.21,408939968,1.013161784,5.1421,1,1.003675541,34.38390573
2001-04-13,518.64,518.65,512.35,516.1,346890976,1.003675541,5.161,1,0.98498353,33.86758085
2001-04-16,514.55,518.26,508.35,508.35,328652992,0.98498353,5.0835,1,1.011055375,34.24199967
2001-04-17,506.92,516.12,505.92,513.97,319533984,1.011055375,5.1397,0,,34.24199967
2001-04-18,523.26,540,520.31,540,494862976,1.050644979,5.4,1,1.043166667,35.72011265
2001-04-19,567.49,581.63,558.97,563.31,561584960,1.043166667,5.6331,1,0.987537945,35.27496666
2001-04-20,567.66,572.08,556.22,556.29,475640992,0.987537945,5.5629,1,1.008358949,35.56982832
2001-04-23,559.09,566.47,556.52,560.94,420368992,1.008358949,5.6094,1,0.990551574,35.23374944
2001-04-24,552.32,556.48,547.39,555.64,346703968,0.990551574,5.5564,0,,35.23374944
2001-04-25,552.69,566.34,551.15,566.34,376544992,1.019257073,5.6634,1,0.991665784,34.94010375
2001-04-26,569.58,570.99,560.84,561.62,305801984,0.991665784,5.6162,1,0.991114989,34.62966054
2001-04-27,561.06,563.76,553.67,556.63,231119984,0.991114989,5.5663,1,1.037241974,35.91933745
2001-04-30,565.44,577.52,564.72,577.36,371498976,1.037241974,5.7736,1,1.010981017,36.31376831
2001-05-02,586.27,587.18,580.39,583.7,594621952,1.010981017,5.837,1,1.001199246,36.35731746
2001-05-03,583.22,584.68,576.53,584.4,390071968,1.001199246,5.844,1,1.002053388,36.43197314
2001-05-04,575.69,585.6,575.69,585.6,392470976,1.002053388,5.856,1,1.018613388,37.11009559
2001-05-07,588.88,599.05,584.79,596.5,471718976,1.018613388,5.965,1,0.990628667,36.76232454
2001-05-08,594.32,597.95,590.65,590.91,484397984,0.990628667,5.9091,1,0.979573878,36.0114128
2001-05-09,589.06,589.42,578.34,578.84,527728960,0.979573878,5.7884,0,,36.0114128
2001-05-10,579.16,584.33,575.43,581.38,557125952,1.004388087,5.8138,0,,36.0114128
2001-05-11,581.74,584.28,577.91,583.06,546700992,1.002889676,5.8306,0,,36.0114128
2001-05-14,585.13,588.13,580.82,584.08,526954976,1.001749391,5.8408,1,0.995240378,35.84001208
2001-05-15,583.73,585.74,579.08,581.3,557552000,0.995240378,5.813,0,,35.84001208
2001-05-16,578.68,585.67,572.36,572.4,529251968,0.984689489,5.724,0,,35.84001208
2001-05-17,588.15,596.39,585.59,596.39,565112000,1.041911251,5.9639,1,1.006958534,36.08940602
2001-05-18,594.56,600.54,591.63,600.54,595396992,1.006958534,6.0054,1,1.030672395,37.19635453
2001-05-21,606.87,620.89,606.46,618.96,750099968,1.030672395,6.1896,1,0.998432855,37.13806246
2001-05-22,628.82,630.08,617.99,617.99,794303040,0.998432855,6.1799,1,1.007459668,37.41510006
2001-05-23,620.03,625.8,616.56,622.6,526290976,1.007459668,6.226,1,0.999486026,37.39586968
2001-05-24,614.22,624.46,612.62,622.28,561541952,0.999486026,6.2228,1,1.002940798,37.50584339
2001-05-25,626.97,633.16,623.05,624.11,634243968,1.002940798,6.2411,1,0.990963131,37.16690802
2001-05-28,620.2,622.67,618.14,618.47,434840992,0.990963131,6.1847,0,,37.16690802
2001-05-29,616.94,632.09,615.87,632.05,530441984,1.021957411,6.3205,1,0.994256783,36.95345042
2001-05-30,629.45,629.9,620.95,628.42,449655968,0.994256783,6.2842,1,0.974125585,35.9973015
2001-05-31,612.45,617.66,608.8,612.16,384982976,0.974125585,6.1216,0,,35.9973015
2001-06-01,615.67,617.09,603.84,607.07,358790976,0.99168518,6.0707,0,,35.9973015
2001-06-04,609.06,613.21,606.72,610.91,341322976,1.006325465,6.1091,0,,35.9973015
2001-06-05,612.63,615,597.66,597.66,360312992,0.978311044,5.9766,0,,35.9973015
