Date,Open,High,Low,Close,Volume,Change
2015-11-06,104962,104962,104882,104887,494,-0.0008002210134228082
2015-11-09,104713,104749,104572,104601,2389,-0.00272674401975459
2015-11-10,104567,104611,104567,104601,654,0.0
2015-11-11,104666,104666,104543,104549,1635,-0.0004971271785164655
2015-11-12,104509,104675,104509,104611,175,0.0005930233670337073
2015-11-13,104601,104704,104601,104697,182,0.0008220932789095857
2015-11-16,104718,104807,104709,104814,37,0.0011175105303877775
2015-11-17,104749,104792,104685,104786,279,-0.00026713988589310844
2015-11-18,104718,104802,104718,104810,13,0.0002290382302978511
2015-11-19,104749,104830,104728,104837,144,0.0002576090067740733
2015-11-20,104895,104895,104744,104751,186,-0.0008203210698513043
2015-11-23,104685,104830,104685,104837,3,0.0008209945489781045
2015-11-24,104749,104830,104749,104837,246,0.0
2015-11-25,104807,104807,104718,104800,664,-0.0003529288323779189
2015-11-26,104827,104827,104740,104814,114,0.00013358778625960357
2015-11-27,104802,104802,104713,104766,64,-0.00045795409010251925
2015-11-30,104764,104777,104675,104781,71,0.00014317622129311758
2015-12-01,104671,104858,104671,104833,782,0.0004962731792976793
2015-12-02,104830,104834,104744,104842,101,8.585082941436895e-05
2015-12-03,104858,104858,104848,104856,7,0.00013353427061679746
2015-12-04,104699,104787,104694,104786,66,-0.0006675822079804661
2015-12-07,104777,104777,104713,104776,3,-9.543259595745646e-05
2015-12-08,105131,105131,104783,104865,260,0.00084943116744296
2015-12-09,104859,104883,104823,104833,2931,-0.0003051542459352463
2015-12-10,104916,104916,104835,104893,215,0.0005723388627627558
2015-12-11,104973,104973,104973,104980,1,0.0008294166436273455
2015-12-14,104968,104991,104939,105000,340,0.00019051247856727294
2015-12-15,104896,104949,104896,104958,4,-0.000399999999999956
2015-12-16,104503,104987,104503,104972,4812,0.00013338668800844109
2015-12-17,104977,105021,104977,105027,4314,0.0005239492436077686
2015-12-18,105088,105116,105088,105121,3,0.0008950079503364793
2015-12-21,105193,105287,105188,105295,6064,0.0016552353954015775
2015-12-22,105282,105282,105193,105237,345,-0.0005508333729047353
2015-12-23,105249,105258,105216,105265,6,0.0002660661174300749
2015-12-24,105262,105262,105254,105260,85,-4.749916876456428e-05
2015-12-28,105244,105267,105244,105260,100,0.0
2015-12-29,105272,105330,105272,105336,116,0.0007220216606498298
2015-12-30,105330,105339,105320,105346,80,9.493430546059224e-05
2016-01-04,105330,105420,105315,105426,381,0.0007594023503503244
2016-01-05,106328,106328,105406,105435,356,8.536793580327107e-05
2016-01-06,105420,105435,105406,105416,3151,-0.00018020581400868263
2016-01-07,105435,105482,105435,105445,700,0.0002751005539955997
2016-01-08,105425,105425,105378,105384,12,-0.0005785006401441972
2016-01-11,105424,105467,105424,105474,41,0.0008540195855157863
2016-01-12,105472,105500,105439,105474,242,0.0
2016-01-13,105501,105511,105478,105499,273,0.0002370252384473748
2016-01-14,105539,105566,105445,105484,173,-0.0001421814424781287
2016-01-15,105458,105463,105415,105465,609,-0.00018012210382611918
2016-01-18,105506,105506,105440,105455,28,-9.481818612810944e-05
2016-01-19,105473,105482,105445,105450,172,-4.741358873450174e-05
2016-01-20,105401,105553,105401,105549,114,0.0009388335704125783
2016-01-21,105477,105591,105477,105597,205,0.0004547650854105356
2016-01-22,105581,105606,105553,105564,167,-0.00031250887809308736
2016-01-25,105576,105586,105526,105582,100,0.0001705126747755248
2016-01-26,105611,105644,105558,105649,390,0.0006345778636509536
2016-01-27,105649,105649,105621,105636,5,-0.00012304896402237642
2016-01-28,105561,105649,105543,105607,429,-0.0002745276231588268
2016-01-29,105581,105738,105581,105744,198,0.0012972624920697395
2016-02-01,105792,105914,105792,105918,520,0.001645483431684136
2016-02-02,105908,105965,105898,105955,694,0.0003493268377423586
2016-02-03,105971,106024,105971,106025,173,0.0006606578264356513
2016-02-04,106015,106034,105986,106039,90,0.0001320443291676909
2016-02-05,106034,106081,105996,106030,194,-8.487443299165509e-05
2016-02-11,106974,106974,105996,106235,546,0.001933415071206257
2016-02-12,106254,106254,106110,106171,1145,-0.0006024379912458189
2016-02-15,106134,106134,106039,106130,1440,-0.0003861694813084293
2016-02-16,105216,106304,105216,106270,71,0.001319136907566243
2016-02-17,106260,106284,106255,106293,153,0.00021642984849901128
2016-02-18,106270,106270,106187,106260,559,-0.00031046258925804265
2016-02-19,105806,106299,105806,106206,749,-0.0005081874647091533
2016-02-22,106201,106201,106124,106181,104,-0.00023539159746155391
2016-02-23,106177,106201,106120,106135,210,-0.000433222516269427
2016-02-24,106124,106192,106116,106191,141,0.0005276299053091903
2016-02-25,106211,106211,106206,106211,6,0.00018833987814415032
2016-02-26,107156,107156,106197,106284,166,0.000687311107135713
2016-02-29,106274,106288,106218,106288,815,3.763501561859784e-05
2016-03-02,107231,107231,106192,106245,551,-0.00040456119223242215
2016-03-03,106211,106211,106157,106163,433,-0.0007718010259306629
2016-03-04,106144,106153,106086,106091,219,-0.0006782023868956433
2016-03-07,106081,106134,106076,106125,269,0.00032047958827807754
2016-03-08,106135,106188,106130,106186,629,0.0005747938751472503
2016-03-09,106215,106232,106168,106176,6137,-9.417437326952882e-05
2016-03-10,106224,106224,106111,106168,757,-7.534659433394708e-05
2016-03-11,106081,106101,106020,106035,675,-0.0012527315198552769
2016-03-14,106001,106029,105971,106030,962,-4.715424152401671e-05
2016-03-15,106044,106071,106010,106067,58,0.00034895784212007896
2016-03-16,106024,106039,105976,106012,258,-0.000518540168007009
2016-03-17,106076,106135,106029,106125,417,0.001065917065992572
2016-03-18,106135,106197,106101,106201,309,0.0007161366313310769
2016-03-21,105265,106232,105265,106225,389,0.00022598657263106503
2016-03-22,106188,106193,106163,106196,282,-0.0002730054130383186
2016-03-23,106168,106168,106116,106135,182,-0.0005744095822818317
2016-03-24,106130,106228,106130,106163,99,0.00026381495265459515
2016-03-25,106163,106224,106163,106211,154,0.00045213492459716953
2016-03-28,106251,106256,106193,106265,204,0.0005084219148676626
2016-03-29,106290,106387,106290,106321,792,0.000526984425728072
2016-03-30,106396,106439,106363,106445,20,0.0011662794744218274
2016-03-31,106415,106424,106314,106430,1325,-0.00014091784489644876
2016-04-01,106419,106444,106368,106387,677,-0.00040402142253126433
2016-04-04,106434,106448,106383,106406,1128,0.00017859324917512964
2016-04-05,105662,106468,105662,106440,496,0.0003195308535233199
2016-04-06,106439,106439,106383,106397,541,-0.0004039834648628116
2016-04-07,106401,106401,106368,106392,225,-4.699380621631111e-05
2016-04-08,106386,106438,106367,106401,317,8.45928265282847e-05
2016-04-11,106409,106409,106386,106401,113,0.0
2016-04-12,106444,106444,106363,106397,100,-3.759363163879925e-05
2016-04-14,106378,106378,106256,106307,359,-0.0008458885118941549
2016-04-15,106285,106310,106266,106312,230,4.703359139091034e-05
2016-04-18,106305,106373,106275,106345,482,0.00031040710361951435
2016-04-19,106324,106324,106173,106307,572,-0.0003573275659410901
2016-04-20,106319,106392,106280,106397,1625,0.0008466046450374964
2016-04-21,106400,106410,106338,106397,252,0.0
2016-04-22,106401,106453,106314,106460,68,0.0005921219583258086
2016-04-25,106452,106477,106386,106469,245,8.453879391323582e-05
2016-04-26,106468,106478,106444,106484,265,0.00014088607951601162
2016-04-27,106468,106492,106419,106489,59,4.6955411141524905e-05
2016-04-28,106458,106549,106458,106510,760,0.00019720346702478691
2016-04-29,106506,106529,106473,106519,110,8.449910806507255e-05
2016-05-02,106515,106515,106434,106514,316,-4.693998253835208e-05
2016-05-03,106511,106568,106483,106574,1853,0.0005633062320447022
2016-05-04,106567,106628,106567,106634,621,0.0005629890967777662
2016-05-09,106625,106649,106592,106649,237,0.00014066807959944858
2016-05-10,106654,106707,106620,106684,1293,0.00032817935470563775
2016-05-11,106693,106698,106620,106693,148,8.436129129019143e-05
2016-05-12,106698,106698,106610,106669,31,-0.00022494446683474223
2016-05-13,106663,106663,106600,106639,115,-0.00028124384779082407
2016-05-16,106634,106634,106558,106569,304,-0.0006564202590046975
2016-05-17,106310,106625,106310,106602,86,0.00030965853109243824
2016-05-18,106592,106596,106534,106544,304,-0.0005440798484080965
2016-05-19,106468,106478,106424,106484,349,-0.0005631476197627272
2016-05-20,106501,106501,106492,106506,48,0.00020660380902293163
2016-05-23,106558,106573,106558,106579,2,0.0006854073948885375
2016-05-24,106568,106620,106553,106626,96,0.0004409874365494115
2016-05-25,106577,106644,106577,106616,101,-9.378575581941996e-05
2016-05-26,106515,106639,106515,106612,638,-3.7517820964949607e-05
2016-05-27,106601,106601,106520,106602,294,-9.379807151166376e-05
2016-05-30,106582,106582,106463,106514,35,-0.000825500459653683
2016-05-31,106520,106549,106478,106519,1255,4.694218600365119e-05
2016-06-01,106729,106729,106615,106696,202,0.0016616753818567975
2016-06-02,106663,106729,106663,106721,687,0.0002343105645947752
2016-06-03,106724,106767,106698,106706,283,-0.0001405534056090341
2016-06-07,106868,106868,106763,106789,566,0.0007778381721739169
2016-06-08,106831,106893,106831,106880,266,0.00085214769311448
2016-06-09,106925,107047,106869,107036,85,0.0014595808383233155
2016-06-10,107070,107085,106988,107090,97,0.0005045031578161385
2016-06-13,107085,107128,107060,107124,139,0.00031748996171443444
2016-06-14,107137,107137,107028,107066,2988,-0.0005414286247712452
2016-06-15,107060,107075,107013,107061,217,-4.67001662526334e-05
2016-06-16,107137,107185,107085,107114,5894,0.0004950448809557528
2016-06-17,107085,107100,107050,107056,158,-0.0005414791717235357
2016-06-20,107037,107050,106998,107004,148,-0.00048572709609928655
2016-06-21,107018,107037,106979,107041,61,0.00034578146611341515
2016-06-22,107050,107050,106983,107031,317,-9.342214665408743e-05
2016-06-23,107033,107075,106993,107031,1138,0.0
2016-06-24,107060,107429,107046,107340,3401,0.002887014042660452
2016-06-27,107404,107489,107404,107438,351,0.0009129867710080396
2016-06-28,107479,107499,107370,107418,269,-0.000186153874792927
2016-06-29,107409,107444,107360,107418,1796,0.0
2016-06-30,107399,107439,107365,107418,884,0.0
2016-07-01,107419,107522,107409,107524,190,0.0009867992329033461
2016-07-04,107522,107541,107479,107524,1524,0.0
2016-07-05,107532,107560,107479,107544,1915,0.00018600498493359652
2016-07-06,107603,107639,107559,107623,1090,0.0007345830543776799
2016-07-07,107621,107626,107536,107631,217,7.43335532367162e-05
2016-07-08,107621,107639,107550,107636,61,4.645501760647264e-05
2016-07-11,107612,107649,107612,107646,992,9.290571927600408e-05
2016-07-12,107616,107616,107536,107594,179,-0.0004830648607472288
2016-07-13,107588,107616,107536,107613,201,0.00017658977266399312
2016-07-14,107620,107692,107592,107669,208,0.0005203832250750828
2016-07-15,107541,107607,107536,107613,1166,-0.0005201125672199547
2016-07-18,107607,107607,107569,107589,217,-0.0002230213821750037
2016-07-19,107598,107634,107574,107594,207,4.6473152459869376e-05
2016-07-20,107612,107616,107598,107613,1088,0.00017658977266399312
2016-07-21,107603,107603,107517,107579,685,-0.0003159469580812368
2016-07-22,107593,107598,107536,107603,266,0.0002230918673717941
2016-07-25,107612,107612,107583,107613,286,9.293421187139828e-05
2016-07-26,107607,107634,107593,107627,340,0.00013009580626865966
2016-07-27,107419,107634,107419,107631,595,3.71653953004092e-05
2016-07-28,107639,107697,107639,107694,536,0.0005853332218412888
2016-07-29,107693,107711,107626,107656,399,-0.00035285159804632205
2016-08-01,107634,107697,107634,107651,389,-4.644422976884943e-05
2016-08-02,107711,107720,107644,107708,3153,0.0005294888110654039
2016-08-03,107598,107607,107541,107544,677,-0.0015226352731458892
2016-08-04,107593,107616,107546,107608,315,0.0005951052592427786
2016-08-05,107659,107683,107654,107684,149,0.0007062671920303742
2016-08-08,107634,107654,107536,107627,1070,-0.000529326548047937
2016-08-09,107616,107629,107564,107599,437,-0.00026015776710308636
2016-08-10,107439,107707,107439,107713,144,0.0010594894004591904
2016-08-11,107707,107716,107702,107723,17,9.283930444792252e-05
2016-08-12,107664,107683,107664,107684,125,-0.0003620396758352573
2016-08-16,107693,107707,107654,107713,184,0.0002693064893577457
2016-08-17,107663,107692,107587,107669,395,-0.0004084929395709036
2016-08-18,107693,107707,107649,107713,8015,0.0004086598742443215
2016-08-19,107702,107702,107673,107694,1989,-0.00017639467845109724
2016-08-22,107688,107693,107626,107646,219,-0.00044570728174275764
2016-08-23,107659,107707,107659,107708,5012,0.0005759619493526102
2016-08-24,107712,107712,107683,107703,104,-4.642180710812127e-05
2016-08-25,107711,107711,107644,107684,1094,-0.0001764110563308163
2016-08-26,107688,107688,107634,107674,337,-9.286430667510004e-05
2016-08-29,107607,107607,107546,107599,987,-0.0006965469844159022
2016-08-30,107593,107593,107560,107564,23,-0.0003252818334742446
2016-08-31,107527,107527,107429,107484,92,-0.0007437432598267346
2016-09-01,107459,107502,107380,107433,587,-0.00047448922630344276
2016-09-02,107409,107424,107365,107404,1994,-0.00026993568084299197
2016-09-05,107429,107479,107429,107438,885,0.00031656176678707126
2016-09-06,107502,107502,107439,107499,731,0.0005677693181183052
2016-09-07,107560,107584,107560,107589,21,0.0008372170903916397
2016-09-08,107584,107608,107518,107603,273,0.00013012482688745663
2016-09-09,107484,107484,107409,107418,427,-0.0017192829196212012
2016-09-12,107409,107409,107302,107364,384,-0.0005027090431771741
2016-09-13,107355,107424,107305,107349,213,-0.00013971163518500251
2016-09-19,107365,107380,107297,107364,807,0.0001397311572535198
2016-09-20,107355,107370,107263,107379,40,0.0001397116351848915
2016-09-21,107409,107429,107345,107354,139,-0.00023282019761783346
2016-09-22,107565,107575,107474,107549,147,0.0018164204407846718
2016-09-23,107546,107565,107494,107549,185,0.0
2016-09-26,107537,107556,107498,107529,35,-0.0001859617476684949
2016-09-27,107532,107537,107444,107459,5237,-0.0006509871755526753
2016-09-28,107464,107542,107464,107539,365,0.0007444699839007639
2016-09-29,107546,107575,107464,107579,160,0.0003719580803243083
2016-09-30,107608,107736,107608,107743,32,0.0015244610937079628
2016-10-04,107736,107736,107574,107646,386,-0.0009002905061117338
2016-10-05,107603,107603,107389,107524,2263,-0.001133344480984011
2016-10-06,107518,107532,107454,107459,137,-0.0006045162010341888
2016-10-07,107503,107503,107434,107484,56,0.00023264686996893325
2016-10-10,107379,107513,107379,107475,161,-8.373339287703896e-05
2016-10-11,107370,107370,107282,107339,671,-0.0012654105605954813
2016-10-12,107333,107409,107315,107394,235,0.0005123953083221443
2016-10-13,107484,107575,107484,107534,490,0.00130361100247689
2016-10-14,107474,107556,107424,107559,920,0.00023248460951874605
2016-10-17,107556,107556,107365,107428,190,-0.00121793620245636
2016-10-18,107218,107464,107170,107438,70,9.308560151910504e-05
2016-10-19,107380,107499,107380,107459,26,0.0001954615685324512
